serial, year, department, image, page
serial, year, department, image, page
, , 0, , 0
, , 0, , 1
, , 0, , 2
, , 0, , 3
, , 3, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000068/46422_592416.jpg, 4
, , 0, , 5
, , 0, , 6
, , 0, , 7
, , 0, , 8
, 1869, 21, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000125/163_1267760.jpg, 9
, , 0, , 10
, , 0, , 11
, , 0, , 12
, , 0, , 13
, , 0, , 14
, , 0, , 15
, 1663, 3, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000107/146195_919625.jpg, 16
, , 0, , 17
, , 0, , 18
, 1763, 3, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000109/148213_941553.jpg, 19
, 1854, 3, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000034/151157_1063025.jpg, 20
, , 0, , 21
, 1776, 3, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000109/148215_941573.jpg, 22
, 1820, 3, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000098/137424_824063.jpg, 23
, 1653, 3, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000036/90893_455196.jpg, 24
, , 0, , 25
, , 0, , 26
, 1866, 3, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000118/71668_1191703.jpg, 27
, 1845, 3, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000118/71688_1191653.jpg, 28
, , 0, , 29
, 1527, 3, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000062/81214_560260.jpg, 30
, , 0, , 31
, 1665, 3, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000118/72620_1192603.jpg, 32
, , 0, , 33
, 1533, 3, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000048/96356_491927.jpg, 34
, , 0, , 35
, 1693, 3, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000074/115676_633201.jpg, 36
, , 0, , 37
, 1699, 3, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000074/115315_631034.jpg, 38
, , 0, , 39
, , 3, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000063/82221_563884.jpg, 40
, , 0, , 41
, , 3, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000048/96352_491880.jpg, 42
, , 0, , 43
, 1470, 3, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000076/117116_644412.jpg, 44
, , 0, , 45
, , 3, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000027/77215_427341.jpg, 46
, , 0, , 47
, 1878, 3, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000118/71692_1191953.jpg, 48
, , 3, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000118/71617_1191143.jpg, 49
, , 3, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000047/29337_488873.jpg, 50
, , 0, , 51
, , 0, , 52
, , 0, , 53
, , 0, , 54
, , 0, , 55
, 1660, 3, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000036/90882_455130.jpg, 56
, , 0, , 57
, , 0, , 58
, , 0, , 59
, 1663, 3, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000074/115679_633216.jpg, 60
, , 0, , 61
, 1755, 3, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000063/81946_563116.jpg, 62
, , 0, , 63
