serial, year, department, image, page
1,1930,21, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000132/50629_1357814.jpg, http://www.artic.edu/aic/collections/artwork/6565?search_no=41&amp;index=1
2,1877,14, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000132/175432_1368904.jpg, http://www.artic.edu/aic/collections/artwork/20684?search_no=3&amp;index=2
3,1875,14, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000137/179743_1428059.jpg, http://www.artic.edu/aic/collections/artwork/25825?search_no=16&amp;index=2
4,1879,14, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000133/175732_1378354.jpg, http://www.artic.edu/aic/collections/artwork/14572?search_no=6&amp;index=0
5,1976,3, , http://www.artic.edu/aic/collections/artwork/206857?search_no=5&index=0
6,1510,3, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000139/182459_1452188.jpg, http://www.artic.edu/aic/collections/artwork/89481?search_no=8&index=0
7,2000,25, , http://www.artic.edu/aic/collections/artwork/189810?search_no=2&index=1
8,618,8, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000027/41502_267530.jpg, http://www.artic.edu/aic/collections/artwork/103303?search_no=3&index=0
9,1935,21, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000088/7858_728026.jpg, http://www.artic.edu/aic/collections/artwork/58141?search_no=1&index=0
10,1934,3, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000089/129379_729778.jpg, http://www.artic.edu/aic/collections/artwork/7761?search_no=1&index=2
11,1932,3, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000100/140013_850123.jpg, http://www.artic.edu/aic/collections/artwork/58344?search_no=1&index=1
12,1936,3, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000100/140011_850101.jpg, http://www.artic.edu/aic/collections/artwork/23494?search_no=1&index=3
13,1931,3, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000104/143103_887493.jpg, http://www.artic.edu/aic/collections/artwork/38207?search_no=1&index=4
14,1932,3, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000089/129381_729791.jpg, http://www.artic.edu/aic/collections/artwork/38645?search_no=1&index=5
